spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
76,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000002913961
77,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001088610818
77,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001088610818
77,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999991531507
77,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999991531507
78,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000103543367
78,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000103543367
78,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000014379279199
78,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000014379279199
79,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000924981153
79,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000924981153
79,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000007944052401
79,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000007944052401
80,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000264753190997
80,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000264753190997
80,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999997335061
80,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999997335061
81,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,4.3239573976378995
81,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,4.3239573976378995
81,ac_transmission,PRT_1,gw,electricity,PRT_2,5.4291602185289
81,ac_transmission,PRT_2,gw,electricity,PRT_1,5.4291602185289
82,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,6.8684077993109
82,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,6.8684077993109
82,ac_transmission,PRT_1,gw,electricity,PRT_2,6.8579952869076
82,ac_transmission,PRT_2,gw,electricity,PRT_1,6.8579952869076
83,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,5.3269217669838005
83,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,5.3269217669838005
83,ac_transmission,PRT_1,gw,electricity,PRT_2,5.4958416416305
83,ac_transmission,PRT_2,gw,electricity,PRT_1,5.4958416416305
84,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,6.5941664304304
84,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,6.5941664304304
84,ac_transmission,PRT_1,gw,electricity,PRT_2,6.792685225343201
84,ac_transmission,PRT_2,gw,electricity,PRT_1,6.792685225343201
85,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,5.3303837735863
85,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,5.3303837735863
85,ac_transmission,PRT_1,gw,electricity,PRT_2,5.503868608165701
85,ac_transmission,PRT_2,gw,electricity,PRT_1,5.503868608165701
86,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,6.5943990389099
86,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,6.5943990389099
86,ac_transmission,PRT_1,gw,electricity,PRT_2,6.7930572430267
86,ac_transmission,PRT_2,gw,electricity,PRT_1,6.7930572430267
87,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,5.3303533791962
87,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,5.3303533791962
87,ac_transmission,PRT_1,gw,electricity,PRT_2,5.5021199073766995
87,ac_transmission,PRT_2,gw,electricity,PRT_1,5.5021199073766995
88,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,6.5944435768813
88,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,6.5944435768813
88,ac_transmission,PRT_1,gw,electricity,PRT_2,6.7930617001621
88,ac_transmission,PRT_2,gw,electricity,PRT_1,6.7930617001621
89,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,5.330684855482501
89,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,5.330684855482501
89,ac_transmission,PRT_1,gw,electricity,PRT_2,5.5025678611884
89,ac_transmission,PRT_2,gw,electricity,PRT_1,5.5025678611884
90,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,6.5943173688605
90,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,6.5943173688605
90,ac_transmission,PRT_1,gw,electricity,PRT_2,6.7929136388371
90,ac_transmission,PRT_2,gw,electricity,PRT_1,6.7929136388371
91,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,4.7112427241485
