spores,locs,carriers,unit,electrification_rate_road_transport
251,PRT_1,transport,fraction,0.9732609637072085
251,PRT_2,transport,fraction,0.9999997058004695
252,PRT_1,transport,fraction,0.975449013610655
252,PRT_2,transport,fraction,0.9999994861206357
253,PRT_1,transport,fraction,0.9782149773515729
253,PRT_2,transport,fraction,0.9999999117063978
254,PRT_1,transport,fraction,0.9804671130421593
254,PRT_2,transport,fraction,0.9999995783368135
255,PRT_1,transport,fraction,0.9804366178520613
255,PRT_2,transport,fraction,0.9999998538755932
256,PRT_1,transport,fraction,0.9805506801637826
256,PRT_2,transport,fraction,0.9999998795836053
257,PRT_1,transport,fraction,0.9795612523940277
257,PRT_2,transport,fraction,0.999999967572313
258,PRT_1,transport,fraction,0.9811138299142945
258,PRT_2,transport,fraction,0.9999996669182049
259,PRT_1,transport,fraction,0.9801950897123516
259,PRT_2,transport,fraction,0.9999999922644228
260,PRT_1,transport,fraction,0.9822978121036067
260,PRT_2,transport,fraction,0.9999998744932422
